ID,Category,Intent,User Type,Programme Group,Programme Detail,Main Question,Alternate Questions,Real Student Variants,Answer,Dynamic/ Static,Source Link,Escalation Contact,Last Updated,Status
78,Admissions,late_document_submission,Prospective Student,ALL,ALL,Can I submit documents after admission confirmation?,documents later submit; certificate pending; provisional admission; docs upload baad me,,Document submission rules are governed by the admission schedule and University regulations.,Dynamic,Admission Guidelines,admissions@manuu.edu.in,22-05-2026,Active
100,Admissions,late_fee_penalty,Prospective Student,ALL,ALL,Is there any late fee for delayed admission?,late fee hai kya; delayed admission charges; last date ke baad fee; penalty for late admission,,Late fee is applicable only if officially notified by the University.,Dynamic,Admission Notification,admissions@manuu.edu.in,22-05-2026,Active
50,Admissions,login_issue_portal,Prospective Student,ALL,ALL,What should I do if I cannot log in to the admission portal?,login issue; portal login nahi ho raha; password problem; portal open nahi ho raha,,Please use the “Forgot Password” option or contact admission support for login assistance.,Dynamic,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
72,Admissions,lsc_availability_issue,Prospective Student,ALL,ALL,What if there is no Learner Support Centre near my location?,nearby lsc nahi hai; nearest study centre; mere area me centre nahi; lsc issue,,Students may choose the nearest available Learner Support Centre during admission.,Static,LSC Information,admissions@manuu.edu.in,22-05-2026,Active
57,Admissions,lsc_selection,Prospective Student,ALL,ALL,How do I select a Learner Support Centre (LSC)?,select study centre; lsc choose kaise; nearest lsc; study centre selection,,Students can select their preferred Learner Support Centre during the admission process based on availability.,Static,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
61,Admissions,madrasa_qualification_eligibility,Prospective Student,UG/PG,MADRASA QUALIFICATIONS,Can students from madrasa backgrounds apply for admission?,madrasa students eligible kya; madrasa certificate valid; deeni taleem wale apply kar sakte kya; fazilat admission,,"Yes, admission from madrasa qualifications is permitted as per the equivalence rules mentioned in the Prospectus.",Static,Equivalence Rules,admissions@manuu.edu.in,22-05-2026,Active
29,Admissions,masters_without_bachelors,Prospective Student,PG,ALL PG PROGRAMMES,Can I pursue a master’s degree without completing a bachelor’s degree?,masters without degree; pg without graduation; direct masters; bina graduation masters; direct pg admission; degree ke bina masters,,Yes. Admission is allowed only as per the equivalence list provided in the current Prospectus.,Static,Equivalence Rules,admissions@manuu.edu.in,22-05-2026,Active
116,Admissions,medium_for_examinations,Prospective Student,ALL,ALL,In which language can I write the examinations?,exam language kya; answers english me likh sakte kya; urdu me exam; hindi me likhna allowed,,"All examinations are to be written in Urdu. However, examinations for language programmes and language-specific papers in English, Hindi, Persian, and Arabic may be answered in the respective language. Applicants are advised to refer to the programme guidelines and examination instructions for any specific provisions applicable to their course.",Static,Programme Rules,admissions@manuu.edu.in,22-05-2026,Active
46,Admissions,medium_of_instruction,Prospective Student,ALL,ALL,What is the medium of instruction in ODL programmes?,medium kya hai; classes urdu me; english medium available kya; hindi medium hai kya,,"The medium of instruction for all ODL programmes offered by CDOE is Urdu. However, language-specific programmes such as English, Hindi, and Arabic are taught in their respective languages. Applicants are advised to consult the relevant programme prospectus for details regarding the medium of instruction applicable to their chosen programme. ",Static,Programme Details,admissions@manuu.edu.in,22-05-2026,Active
102,Admissions,migration_certificate_requirement,Prospective Student,UG/PG,OTHER UNIVERSITY STUDENTS,Is Migration Certificate required for admission?,migration certificate compulsory; other university migration; migration docs; migration required kya,,No. A Migration Certificate is not required at the time of admission to CDOE programmes. Applicants may complete the admission process without submitting a Migration Certificate.,Static,Admission Guidelines,admissions@manuu.edu.in,22-05-2026,Active
88,Admissions,minimum_enrolment_requirement,Prospective Student,ALL,ALL,Can a programme or study centre be cancelled due to low admissions?,minimum students required; centre cancel; course not started; kam admissions,,The University may discontinue a programme or centre if minimum enrolment requirements are not met.,Static,University Rules,admissions@manuu.edu.in,22-05-2026,Active
109,Admissions,mobile_application_support,Prospective Student,ALL,ALL,Can I complete admission using a mobile phone?,mobile se admission; phone se form bhar sakte kya; mobile application possible; smartphone admission,,"Yes, the admission portal can be accessed through mobile devices with internet connectivity.",Static,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
43,Admissions,mobile_email_update,Prospective Student,ALL,ALL,Can I change my mobile number or email ID after registration?,change mobile number; update email; wrong mobile entered; email id galat dala,,Students may update their details as per the options available on the admission portal or by contacting the admission support team.,Dynamic,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
96,Admissions,multiple_lsc_change_request,Current Student,ALL,ALL,Can I change my Learner Support Centre more than once?,lsc change again; multiple centre transfer; study centre change twice; dusri baar lsc badalna,,"No. Students are not permitted to change their Learner Support Centre. Therefore, they are advised to select their Learner Support Centre carefully at the time of admission, as any subsequent request for change will not be entertained.",Static,LSC Rules,admissions@manuu.edu.in,22-05-2026,Active
52,Admissions,multiple_programme_application,Prospective Student,ALL,ALL,Can I apply for more than one programme?,multiple applications; do programme apply; ek se zyada course; multiple admission forms,,"Yes, students may apply for multiple programmes subject to eligibility and University rules.",Static,Admission Rules,admissions@manuu.edu.in,22-05-2026,Active
